# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 19214
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 19214
DATA ascii
0.03015427 -0.06990694 -0.02395581
0.005374439 -0.01892592 -0.04516265
0.03923343 -0.05615617 -0.02281961
-0.02402363 -0.06406865 -0.03023578
0.02274683 -0.05120241 -0.03036449
0.03059535 -0.04846159 -0.02611002
-0.02771455 0.0117791 -0.02593022
-0.00943599 0.04277211 -0.02661728
-0.01112014 0.03025318 -0.03738109
-0.04224339 0.0007839054 -0.01527258
-0.02413475 -0.01750364 -0.0226096
0.02352674 0.02688575 -0.03225208
-0.01437792 0.002132797 -0.03757457
0.03246556 -0.04974146 -0.02586137
-0.009168174 0.02841656 -0.04075871
0.03439679 -0.03494534 -0.02226909
0.00972419 0.02895746 -0.03077303
-0.04485881 0.03051719 -0.00461821
-0.03178555 0.02069824 -0.02441397
-0.02086934 -0.05740794 -0.03211233
-0.01169353 -0.0458746 -0.02936438
0.001551109 -0.04478728 -0.03360594
-0.01084795 -0.03087777 -0.02352905
0.0003776434 -0.01445964 -0.05467878
0.02650469 0.03229942 -0.02764142
-0.0437723 -0.07360084 -0.01235024
-0.009089723 -0.0269108 -0.02858975
-0.00244836 -0.01120151 -0.05663957
-0.02934832 0.04464148 -0.02178333
-0.04617923 -0.008829708 -0.01279085
0.003106914 0.04461693 -0.03807461
0.0134273 -0.00778865 -0.03359671
-0.04462151 -0.07565333 -0.01088266
0.03760084 0.03294632 -0.01650254
-0.04922963 -0.06271466 -0.009957328
-0.001872559 -0.02513172 -0.04498588
-0.02062237 0.07196879 -0.02202248
-0.05089677 -0.03893444 -0.007196527
0.02860939 0.06103496 -0.01568026
0.03845828 2.853055e-05 -0.0175886
-0.01740677 -0.01340246 -0.02746513
-0.02743196 0.01822599 -0.02859049
0.03006401 -0.009920307 -0.02007642
0.02271104 -0.05376121 -0.03113684
0.03661025 0.05751378 -0.005002529
-0.01552642 -0.01189148 -0.02940458
0.006964635 0.07590175 -0.0227014
0.02987306 0.0369681 -0.0238821
0.01410129 -0.001967143 -0.04125506
-0.04345671 -0.01707559 -0.01452926
0.01279252 0.02626455 -0.02709932
0.03410936 0.05495279 -0.0113209
0.01139381 -0.008174583 -0.04091739
0.02539525 -0.02719203 -0.02104088
-0.05199813 -0.03539651 -0.004629708
0.01589122 -0.04541875 -0.02875135
-0.03440242 0.002699855 -0.02060346
-0.02208264 0.04604851 -0.02876169
0.02700984 -0.01290796 -0.02079888
-0.04536369 0.005311845 -0.01145299
-0.01827151 0.03248136 -0.02803362
-0.03454075 -0.05960591 -0.02610197
0.02350064 0.002219377 -0.02713968
0.02327374 -0.03590537 -0.02322413
-0.005404655 0.04265839 -0.03897386
-3.200251e-05 0.03159529 -0.03982793
-0.03268888 0.05264993 -0.01470722
0.02677387 -0.01150765 -0.02127936
-0.02335497 0.07209651 -0.0186947
-0.01076208 -0.04824944 -0.03217793
-0.04178414 -0.04312332 -0.01940045
0.01489762 -0.004262858 -0.03497603
0.04894076 -0.0355933 -0.008102048
0.02639823 0.05164481 -0.02057334
0.05149173 0.006385434 -0.003267172
-0.04649691 -0.01093751 -0.01259139
-0.03922717 0.02964089 -0.01390972
0.01068422 0.03070877 -0.03536935
-0.0396964 -0.007228237 -0.01737661
-0.02847819 0.03022715 -0.02663756
0.02490275 -0.03407228 -0.02170167
-0.02231378 -0.02881357 -0.02191504
-0.003765558 -0.007124351 -0.05956002
-0.04479448 0.006737994 -0.01169485
0.003989397 0.06117327 -0.03145605
0.02464333 -0.02636623 -0.01758409
0.01732499 0.02962883 -0.03526416
0.01461465 -0.002963073 -0.03940333
0.03670133 -0.05320268 -0.02487212
-0.03903862 0.02521627 -0.01476786
-0.003158259 0.07630882 -0.02355493
0.001450602 0.06764317 -0.03026408
0.008709617 0.001082049 -0.05036718
0.006888991 0.03040113 -0.03453572
0.01974564 0.02910519 -0.02525654
-0.02625968 -0.003060595 -0.024736
0.0112119 0.06845599 -0.02736161
-0.04489499 0.007584533 -0.01132964
-0.006680985 -0.02235584 -0.0388671
-0.02612779 -0.0263225 -0.02216682
0.04249664 -0.06466994 -0.01627907
0.01540469 -0.003859528 -0.03328584
0.006753996 0.000145072 -0.04866188
-0.008668724 -0.05215057 -0.03443392
-0.04791496 -0.06656811 -0.01003952
0.01227386 0.04667546 -0.03317007
0.02018498 0.02179638 -0.03507422
0.05239282 -0.008770873 -0.006081673
0.004387642 0.03106161 -0.03945741
0.01293023 0.0736096 -0.02318928
0.01824442 -0.02959577 -0.01999346
-0.008858743 0.07308087 -0.02731295
0.03479555 0.04715918 -0.01426509
-0.00462903 0.04043154 -0.02949577
-0.02104425 -0.02250289 -0.02242545
-0.05362558 -0.04415403 -0.006297847
-0.01671371 -0.0638395 -0.03283894
-0.04142349 0.0221384 -0.01181498
0.01060034 0.03057446 -0.03668696
-0.02866444 -0.06455462 -0.02804542
0.0008129422 0.03674512 -0.04154245
0.02551903 0.04633112 -0.02354895
-0.04462637 -0.01458839 -0.01393525
-0.0051849 0.047188 -0.03561327
-0.007158387 0.002395445 -0.0515536
-0.004133658 0.004714129 -0.04959844
0.005268829 0.07085647 -0.0279077
0.05304423 -0.04115516 -0.004632061
-0.05099319 -0.008642285 -0.008431856
0.04725083 0.02340851 -0.004243466
-0.03096496 -0.01769171 -0.02042003
-0.01880733 0.03522643 -0.02553165
0.01592533 -0.01341545 -0.0282416
-0.02037354 -0.01859347 -0.02388297
0.01339339 0.06679317 -0.02709066
0.01096684 -0.01689346 -0.03366868
-0.03039608 0.06366439 -0.01504187
0.0320741 0.006635896 -0.0226254
-0.02187809 0.06966691 -0.02312412
0.04731713 -0.01651144 -0.01125103
-0.01938723 -0.05186889 -0.03074304
-0.04656043 -0.06227324 -0.0142017
-0.04838288 -0.01828022 -0.01046159
0.03853526 -0.0734455 -0.01604836
0.02796953 0.003965804 -0.02478714
0.009371452 -0.0006593445 -0.05101802
0.01241908 0.06636259 -0.02760581
0.02417944 0.0714618 -0.01342994
0.006940221 0.02865924 -0.03054031
-0.04402774 0.01431178 -0.01051471
0.04429246 -0.03037252 -0.0134466
-0.0430445 0.00582212 -0.0135103
0.01595667 0.01418771 -0.03702438
-0.01801343 0.03752311 -0.03492298
-0.0006754306 0.02683118 -0.04415371
0.05115023 -0.06958548 -0.002262002
0.009222297 -0.02366667 -0.03304889
0.006431832 -0.04579095 -0.03281665
-0.006340949 0.05679433 -0.03204485
0.0469199 0.02151689 -0.005423001
-0.01224302 0.004948013 -0.04186838
-0.002329838 0.0323541 -0.04062345
-0.01616297 0.07668188 -0.01741864
-0.03847827 -0.01375293 -0.01746606
-0.01583911 0.03019667 -0.03499842
-0.03417213 0.01198046 -0.02054594
0.008907563 -0.0131236 -0.04001004
0.004868984 -0.04207404 -0.03293922
-0.018196 0.07699659 -0.01377638
0.01099196 -0.03857443 -0.02556916
0.04990245 -0.06395445 -0.006196576
-0.009835553 0.08047157 -0.01039347
0.02803502 0.003196069 -0.02459628
-0.009946726 -0.008677864 -0.04385014
-0.04160371 9.93612e-05 -0.01598303
-0.01522048 0.03654899 -0.03713551
0.05078182 -0.0358418 -0.006147258
0.04702509 -0.02670911 -0.01064442
-0.03352705 0.00476528 -0.02124414
0.01174004 -0.01565063 -0.03277696
0.03824806 -0.03979008 -0.02168301
-0.01254401 0.05302683 -0.03068894
-0.04583587 0.006492545 -0.01060468
-0.04483677 -0.008384678 -0.01384256
0.04820772 -0.03228318 -0.009123807
-0.004686424 -0.01485988 -0.05122118
-0.05512676 -0.02282559 -0.002592555
0.01027572 0.06050605 -0.02952023
-0.03368586 0.003079352 -0.02111569
-0.009072089 -0.0151406 -0.038371
0.04647479 -0.03640687 -0.01140357
-0.03013616 -0.05877468 -0.0283034
-0.01375575 -0.043579 -0.02564786
0.01376169 -0.01055905 -0.03169144
0.04168536 -0.05031177 -0.02143178
0.05283839 -0.01267244 -0.006512642
0.02720535 -0.06058049 -0.02884867
-0.003069323 0.003319932 -0.06014614
0.04925022 0.008302315 -0.005777674
-0.0223565 0.02984644 -0.02116857
-0.02945202 -0.004697827 -0.02278586
0.03885702 -0.05207491 -0.02370626
-0.01252255 0.07684183 -0.01983981
-0.04541537 0.01895601 -0.007556331
-0.03272256 0.04777672 -0.01643963
-0.03913791 -0.03509007 -0.01861273
-0.04097627 0.02943441 -0.01088971
0.03835648 -0.05809617 -0.02306135
0.0231095 0.06702409 -0.01943908
-0.0004642215 -0.01354118 -0.05543463
0.01996042 -0.02864904 -0.02097006
0.03302462 -0.06840415 -0.02273896
-0.03095955 -0.02752214 -0.021538
0.01517317 -0.01212876 -0.02950368
0.04033729 0.03191466 -0.01278584
-0.05209948 -0.06984177 -0.00312463
0.03659138 -0.06004888 -0.02382649
0.01011768 -0.03288243 -0.02539834
-0.03755201 -0.01930932 -0.01792429
0.03294152 0.03369259 -0.02248912
0.00414959 0.001544153 -0.04379825
-0.03688136 -0.03888153 -0.02039164
0.002251527 0.002287579 -0.05134224
0.002670823 0.07223922 -0.02761674
-0.04014648 -0.05190383 -0.02256779
-0.01179605 -0.02789952 -0.02458342
0.0301022 -0.07338513 -0.02241478
-0.01081348 0.04886231 -0.033019
-0.04549402 0.007207664 -0.01077208
0.007045643 -0.001611915 -0.05737366
0.007037099 0.009626267 -0.04297878
-0.01227984 0.0780397 -0.0161611
-0.03304883 0.01017027 -0.02165549
0.01164999 0.08020747 -0.008094011
0.01277391 0.05725486 -0.02859088
-0.04577256 0.02673041 -0.004607708
0.008061957 -0.001551548 -0.04609874
-0.01650133 -0.03557703 -0.02089361
0.04140952 0.01625242 -0.01371875
-0.01356622 -0.01354651 -0.0309319
-0.002178104 -0.01388728 -0.05453479
0.02711104 0.03087284 -0.02776159
0.01853394 0.04613028 -0.0295688
-0.009775732 0.04343338 -0.02607107
-0.05454164 -0.02362943 -0.003098347
0.02620444 0.03890456 -0.02629923
0.04308452 0.02762977 -0.008951805
-0.0495972 -0.07745911 -0.004647614
0.04401719 0.01325534 -0.01116987
0.009942211 -0.02312465 -0.03242985
-0.01710523 0.07404115 -0.02218151
-0.02940662 0.04936443 -0.01977285
-0.006844663 -0.02418744 -0.03695027
0.04623552 -0.05733107 -0.01629905
0.04515643 0.03218964 -0.003831137
0.007162916 -0.0004149518 -0.04782423
-0.03459049 -0.03782881 -0.02223944
0.03788067 0.02011348 -0.01817393
0.004023985 -0.03484191 -0.03661013
0.02340974 -0.01033592 -0.02347617
0.002356509 -0.0686634 -0.03254729
0.04764124 -0.07658658 -0.004477855
-0.01839217 -0.06198816 -0.03271817
0.0075904 -0.002687999 -0.04184842
0.03394508 0.05169523 -0.01311533
0.01554168 -0.007877423 -0.0307008
-0.02438969 0.07078894 -0.01900189
0.0140566 -0.04272863 -0.02680672
-0.0007539887 -0.06407234 -0.03429936
-0.01158661 -0.002448911 -0.04889513
0.0221911 0.03848979 -0.0206685
0.02137125 0.0381325 -0.02157596
-0.008022425 -0.004858301 -0.05592324
0.01705463 0.07218159 -0.02183659
-0.006128019 -0.03134238 -0.03168514
-0.007363012 -0.02361139 -0.03618
-0.003325965 0.03137526 -0.0370393
-0.004199327 -0.003016531 -0.0479815
0.04725609 -0.01877499 -0.01130664
-0.04898856 -0.008161454 -0.0103498
-0.01776473 -0.04902933 -0.02952126
-0.0455436 -0.009047796 -0.0133065
-0.03196022 -0.009028188 -0.02076119
0.01971152 -0.03251563 -0.02151515
-0.01303475 0.0772771 -0.01790143
-0.004128776 -0.04652711 -0.03337665
0.002048892 -0.0004822061 -0.04636323
-0.04703307 -0.05878516 -0.01559803
-0.03851704 0.04661533 -0.007914329
-0.0316661 0.02844698 -0.02472243
-0.02166771 -0.06122672 -0.03179271
-0.03264705 0.05487498 -0.01413129
0.0004279081 0.009108986 -0.05018381
-0.009629133 0.06402926 -0.03144775
0.0002599822 -0.008931453 -0.05909515
0.04079926 0.02966084 -0.01247671
-0.01240523 0.07218177 -0.02683485
0.03063614 0.009015184 -0.02407027
-0.01714669 0.02882236 -0.02696914
0.05370966 -0.03998782 -0.00343071
0.02324014 -0.005005196 -0.02530973
0.01071383 0.03286701 -0.03272643
-0.0445081 -0.04607142 -0.01778882
-0.02755592 -0.03789569 -0.02352269
-0.01350802 0.01930797 -0.03920005
-0.01396885 0.06348991 -0.02992838
0.002086241 -0.0486992 -0.03401708
-0.03349344 -0.01561807 -0.01954883
-0.01298612 0.04422754 -0.03577575
-0.0006712273 0.0318787 -0.04044042
0.0002767619 0.001757112 -0.06234431
0.05247245 -0.03631916 -0.004424521
0.01316854 -0.0190349 -0.02995041
-0.02959441 0.04124939 -0.02293405
0.003831815 0.03648148 -0.03235295
0.004286299 0.06897685 -0.02913119
0.005298419 -0.02759093 -0.03843825
0.01322235 -0.02317588 -0.02791183
-0.0532539 -0.001537685 -0.004256754
0.001407475 0.02181595 -0.04414647
0.03596249 0.05484392 -0.008315885
0.008146674 0.02369489 -0.0428279
0.02327608 0.06922717 -0.01788817
0.01719149 3.058909e-05 -0.03216116
-0.03263797 0.05859517 -0.01307273
0.02334033 0.05624736 -0.0219767
0.002007363 0.03380759 -0.04112138
-0.03636313 -0.02051974 -0.01839878
0.0124826 -0.05173988 -0.03386791
0.01452149 -0.07165918 -0.02953864
0.001201079 0.008091561 -0.05008895
0.05124455 0.0006716611 -0.00514734
-0.03375147 -0.02347927 -0.01976908
-0.01137061 0.03254003 -0.03313501
-0.02937297 -0.02546283 -0.02167188
0.008499238 -0.01606053 -0.03906602
-0.0006751223 -0.01759882 -0.05198263
-0.04814116 0.01482824 -0.005338372
